Algebra.GeSquare.of.Le_0.Le Int.GeSquare.of.Le_0.Le
Algebra.GeSub.of.Eq.Le Int.GeSub.of.Eq.Le
Algebra.Ge_0.Ceil.of.Ge_0 Int.Ge_0.Ceil.of.Ge_0
Algebra.Ge_0.Mul.of.Ge_0 Nat.Ge_0.Mul.of.Ge_0
Algebra.Ge_0.Sum.of.All_Ge_0 Finset.Ge_0.Sum.of.All_Ge_0
Algebra.Ge_0.Sum.of.Ge_0 Finset.Ge_0.Sum.of.Ge_0
Algebra.Ge_0.given.Ge_0.Sqrt Real.Ge_0.given.Ge_0.Sqrt
Algebra.Ge_0.of.Ge.Ge Nat.Ge_0.of.Ge.Ge
Algebra.Ge_0.of.Le.Le Nat.Ge_0.of.Le.Le
Algebra.Ge_0.of.Le_0.Le_0 Int.Ge_0.of.Le_0.Le_0
Algebra.Ge_0.of.Lt_0.Lt_0 Int.Ge_0.of.Lt_0.Lt_0
Algebra.Ge_Block.Is.And.Ge Tensor.Ge_Block.Is.And.Ge
Algebra.Ge_Block.given.And.Ge Tensor.Ge_Block.given.And.Ge
Algebra.Ge_Max.Is.And.Ge Nat.Ge_Max.Is.And.Ge
Algebra.Ge_Max.given.And.Ge Nat.Ge_Max.given.And.Ge
Algebra.Ge_Min.given.Or.Ge Nat.Ge_Min.given.Or.Ge
Algebra.Given.Bool.of.Eq Bool.Given.Bool.of.Eq
Algebra.Given.Or.of.Given Bool.Given.Or.of.Given
Algebra.Given.of.Given.Given Bool.Given.of.Given.Given
Algebra.Gt.Gt.given.Gt Nat.Gt.Gt.given.Gt
Algebra.Gt.Is.All.Gt Nat.Gt.Is.All.Gt
Algebra.Gt.Is.Ge.strengthen Nat.Gt.Is.Ge.strengthen
Algebra.Gt.Is.Lt.reverse Nat.Gt.Is.Lt.reverse
Algebra.Gt.given.All.Gt Nat.Gt.given.All.Gt
Algebra.Gt.given.And.strengthen Nat.Gt.given.And.strengthen
Algebra.Gt.given.Ge.strengthen Nat.Gt.given.Ge.strengthen
Algebra.Gt.given.Gt.Exp Real.Gt.given.Gt.Exp
Algebra.Gt.given.Gt.Log Real.Gt.given.Gt.Log
Algebra.Gt.given.Gt.relax Nat.Gt.given.Gt.relax
Algebra.Gt.given.Gt.transport Nat.Gt.given.Gt.transport
Algebra.Gt.given.Lt.reverse Nat.Gt.given.Lt.reverse
Algebra.Gt.of.Eq.Gt Nat.Gt.of.Eq.Gt
Algebra.Gt.of.Eq.relax Nat.Gt.of.Eq.relax
Algebra.Gt.of.Gt.Le Nat.Gt.of.Gt.Le
Algebra.Gt.of.Gt.Lt Nat.Gt.of.Gt.Lt
Algebra.Gt.of.Gt.transport Nat.Gt.of.Gt.transport
Algebra.Gt.of.Le.Gt Nat.Gt.of.Le.Gt
Algebra.Gt.of.Le.Lt Nat.Gt.of.Le.Lt
Algebra.Gt.of.Lt.Eq Nat.Gt.of.Lt.Eq
Algebra.Gt.of.Lt.Le Nat.Gt.of.Lt.Le
Algebra.Gt.of.Lt.Lt Nat.Gt.of.Lt.Lt
Algebra.Gt.of.Lt.reverse Nat.Gt.of.Lt.reverse
Algebra.Gt.of.Ne.Ge Nat.Gt.of.Ne.Ge
Algebra.Gt.of.Ne.Gt Nat.Gt.of.Ne.Gt
Algebra.Gt.of.Or.two Nat.Gt.of.Or.two
Algebra.GtAdd.of.Eq.Gt Nat.GtAdd.of.Eq.Gt
Algebra.GtAdd.of.Gt.Eq Nat.GtAdd.of.Gt.Eq
Algebra.GtAdd.of.Gt.Ge Nat.GtAdd.of.Gt.Ge
Algebra.GtAdd.of.Gt.Gt Nat.GtAdd.of.Gt.Gt
Algebra.GtBlock.Is.And.Gt Tensor.GtBlock.Is.And.Gt
Algebra.GtBlock.given.And.Gt Tensor.GtBlock.given.And.Gt
Algebra.GtDiv.of.Gt_0.Gt Rat.GtDiv.of.Gt_0.Gt
Algebra.GtDiv.of.Lt_0.Lt Rat.GtDiv.of.Lt_0.Lt
Algebra.GtInv.of.Lt_0.Lt Rat.GtInv.of.Lt_0.Lt
Algebra.GtMax.of.Gt.Gt Nat.GtMax.of.Gt.Gt
Algebra.GtMin.of.Gt.Gt Nat.GtMin.of.Gt.Gt
Algebra.GtMinima.given.All.Gt Real.GtMinima.given.All.Gt
Algebra.GtMul.of.Gt_0.Gt Nat.GtMul.of.Gt_0.Gt
Algebra.GtMul.of.Gt_0.Gt_1 Nat.GtMul.of.Gt_0.Gt_1
Algebra.GtMul.of.Lt_0.Lt Int.GtMul.of.Lt_0.Lt
Algebra.GtSqrt.of.Ge_0.Gt Real.GtSqrt.of.Ge_0.Gt
Algebra.GtSquare.of.Ge_0.Gt Nat.GtSquare.of.Ge_0.Gt
Algebra.GtSquare.of.Gt_0.Gt Nat.GtSquare.of.Gt_0.Gt
Algebra.GtSquare.of.Le_0.Lt Int.GtSquare.of.Le_0.Lt
Algebra.GtSub.of.Eq.Lt Int.GtSub.of.Eq.Lt
Algebra.Gt_0.Abs.of.Gt_0 Int.Gt_0.Abs.of.Gt_0
Algebra.Gt_0.Ceil.of.Gt_0 Int.Gt_0.Ceil.of.Gt_0
Algebra.Gt_0.Mul.of.Gt_0 Nat.Gt_0.Mul.of.Gt_0
Algebra.Gt_0.Mul.of.Lt_0 Int.Gt_0.Mul.of.Lt_0
Algebra.Gt_0.given.Gt_0.Inv Rat.Gt_0.given.Gt_0.Inv
Algebra.Gt_0.given.Gt_0.Sqrt Real.Gt_0.given.Gt_0.Sqrt
Algebra.Gt_0.of.All_Gt_0.positive_definite Nat.Gt_0.of.All_Gt_0.positive_definite
Algebra.Gt_0.of.Gt.trans Nat.Gt_0.of.Gt.trans
Algebra.Gt_0.of.Lt.Lt Nat.Gt_0.of.Lt.Lt
Algebra.Gt_0.of.Lt.trans Nat.Gt_0.of.Lt.trans
Algebra.Gt_Block.Is.And.Gt Tensor.Gt_Block.Is.And.Gt
Algebra.Gt_Block.given.And.Gt Tensor.Gt_Block.given.And.Gt
Algebra.Gt_Max.Is.And.Gt Nat.Gt_Max.Is.And.Gt
Algebra.Gt_Max.given.And.Gt Nat.Gt_Max.given.And.Gt
Algebra.Gt_Min.given.Or.Gt Nat.Gt_Min.given.Or.Gt
Algebra.Ge.Is.Ge_0 Nat.Ge.Is.Ge_0
Algebra.Ge.Is.Le_0 Nat.Ge.Is.Le_0
Algebra.Ge.given.Eq Nat.Ge.given.Eq
Algebra.Ge.given.Ge_0 Nat.Ge.given.Ge_0
Algebra.Ge.given.Gt Nat.Ge.given.Gt
Algebra.Ge.given.Le_0 Nat.Ge.given.Le_0
Algebra.Ge.of.Eq_Max Nat.Ge.of.Eq_Max
Algebra.Ge.of.Eq_Min Nat.Ge.of.Eq_Min
Algebra.Ge.of.Ge_0 Nat.Ge.of.Ge_0
Algebra.Ge.of.Ge_Max Nat.Ge.of.Ge_Max
Algebra.Ge.of.Ge_Min Nat.Ge.of.Ge_Min
Algebra.Ge.of.LeAbs Int.Ge.of.LeAbs
Algebra.Ge.of.Le_0 Nat.Ge.of.Le_0
Algebra.Ge.of.Or Nat.Ge.of.Or
Algebra.Ge.simp.common_terms Nat.Ge.simp.common_terms
Algebra.Ge.symbol.domain_defined Nat.Ge.symbol.domain_defined
